//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,0,,,,,,
measure_time,1.5,,,,,,
metronome_per_measure,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0.0,0.65,0,,
note,69,60,0.75,1.025,1,,
note,71,60,1.125,1.4,-1,,
note,72,60,1.5,2.15,0,,
note,-1,0,2.25,2.525,-1,,
note,72,60,2.625,2.9,-1,,
note,72,60,3.0,3.275,1,,
note,71,60,3.375,3.65,-1,,
note,69,60,3.75,4.025,1,,
note,72,60,4.125,4.4,-1,,
note,71,60,4.5,5.15,0,,
note,71,60,5.25,5.525,1,,
note,67,60,5.625,5.9,-1,,
note,67,60,6.0,6.65,0,,
note,69,60,6.75,7.025,1,,
note,71,60,7.125,7.4,-1,,
note,72,60,7.5,8.15,0,,
note,-1,0,8.25,8.525,-1,,
note,72,60,8.625,8.9,-1,,
note,72,60,9.0,9.275,1,,
note,72,60,9.375,9.65,-1,,
note,72,60,9.75,10.025,1,,
note,72,60,10.125,10.4,-1,,
note,76,60,10.5,10.775,1,,
note,76,60,10.875,11.15,-1,,
note,76,60,11.25,11.9,0,,
note,74,60,12.0,12.65,0,,
note,69,60,12.75,13.025,1,,
note,71,60,13.125,13.4,-1,,
note,72,60,13.5,14.525,0,t,
note,72,60,14.625,14.9,-1,,
note,72,60,15.0,15.275,1,,
note,71,60,15.375,15.65,-1,,
note,69,60,15.75,16.025,1,,
note,72,60,16.125,16.4,-1,,
note,71,60,16.5,16.775,1,,
note,71,60,16.875,17.15,-1,,
note,71,60,17.25,17.525,1,,
note,67,60,17.625,17.9,-1,,
note,67,60,18.0,18.275,-1,,
note,-1,0,18.375,18.65,-1,,
note,69,60,18.75,19.025,1,,
note,71,60,19.125,19.4,-1,,
note,72,60,19.5,20.15,0,,
note,-1,0,20.25,20.9,0,,
note,76,60,21.0,21.275,1,,
note,74,60,21.375,21.65,-1,,
note,72,60,21.75,22.025,1,,
note,74,60,22.125,22.4,-1,,
note,72,60,22.5,23.15,0,,
note,69,60,23.25,23.525,1,,
note,69,60,23.625,23.9,-1,,
note,69,60,24.0,24.65,0,,
note,69,60,24.75,25.025,1,,
note,71,60,25.125,25.4,-1,,
note,72,60,25.5,26.525,0,t,
note,-1,0,26.625,26.9,-1,,
note,72,60,27.0,27.275,1,,
note,71,60,27.375,27.65,-1,,
note,69,60,27.75,28.025,1,,
note,72,60,28.125,28.4,-1,,
note,71,60,28.5,29.15,0,,
note,71,60,29.25,29.525,1,,
note,67,60,29.625,29.9,-1,,
note,67,60,30.0,30.275,-1,,
note,-1,0,30.375,30.65,-1,,
note,69,60,30.75,31.025,1,,
note,71,60,31.125,31.4,-1,,
note,72,60,31.5,32.15,0,,
note,72,60,32.25,32.525,1,,
note,72,60,32.625,32.9,-1,,
note,72,60,33.0,33.275,1,,
note,72,60,33.375,33.65,-1,,
note,72,60,33.75,34.025,1,,
note,72,60,34.125,34.4,-1,,
note,76,60,34.5,34.775,1,,
note,76,60,34.875,35.15,-1,,
note,76,60,35.25,35.525,1,,
note,74,60,35.625,35.9,-1,,
note,74,60,36.0,36.275,-1,,
note,-1,0,36.375,36.65,-1,,
note,69,60,36.75,37.025,1,,
note,71,60,37.125,37.4,-1,,
note,72,60,37.5,38.15,0,,
note,-1,0,38.25,38.525,-1,,
note,72,60,38.625,38.9,-1,,
note,72,60,39.0,39.275,1,,
note,71,60,39.375,39.65,-1,,
note,69,60,39.75,40.025,1,,
note,72,60,40.125,40.4,-1,,
note,71,60,40.5,41.525,0,t,
note,67,60,41.625,41.9,-1,,
note,67,60,42.0,42.275,-1,,
note,-1,0,42.375,42.65,-1,,
note,69,60,42.75,43.025,1,,
note,71,60,43.125,43.4,-1,,
note,72,60,43.5,44.15,0,,
note,-1,0,44.25,44.9,0,,
note,76,60,45.0,45.275,1,,
note,74,60,45.375,45.65,-1,,
note,72,60,45.75,46.025,1,,
note,74,60,46.125,46.4,-1,,
note,71,60,46.5,46.775,-1,,
note,69,60,46.875,47.525,0,,
note,69,60,47.625,47.9,-1,,
note,69,60,48.0,49.025,0,t,
note,-1,0,49.125,49.4,-1,,
note,76,60,49.5,50.15,0,,
note,-1,0,50.25,50.525,-1,,
note,76,60,50.625,50.9,-1,,
note,76,60,51.0,51.65,0,,
note,74,60,51.75,52.025,1,,
note,72,60,52.125,52.4,-1,,
note,76,60,52.5,53.15,0,,
note,74,60,53.25,53.9,0,,
note,74,60,54.0,54.275,-1,,
note,-1,0,54.375,54.65,-1,,
note,74,60,54.75,55.025,1,,
note,76,60,55.125,55.4,-1,,
note,77,60,55.5,56.525,0,t,
note,77,60,56.625,56.9,-1,,
note,79,60,57.0,57.65,0,,
note,74,60,57.75,58.025,1,,
note,77,60,58.125,58.4,-1,,
note,77,60,58.5,58.775,-1,,
note,76,60,58.875,59.9,0,t,
note,76,60,60.0,60.65,0,,
note,-1,0,60.75,61.025,-1,,
note,76,60,61.125,61.4,-1,,
note,77,60,61.5,62.525,0,t,
note,76,60,62.625,62.9,-1,,
note,74,60,63.0,63.65,0,,
note,74,60,63.75,64.025,1,,
note,76,60,64.125,64.4,-1,,
note,76,60,64.5,65.15,0,,
note,74,60,65.25,65.9,0,,
note,72,60,66.0,66.65,0,,
note,69,60,66.75,67.025,1,,
note,71,60,67.125,67.4,-1,,
note,72,60,67.5,67.775,1,,
note,72,60,67.875,68.15,-1,,
note,-1,0,68.25,68.525,-1,,
note,72,60,68.625,68.9,-1,,
note,71,60,69.0,69.275,1,,
note,71,60,69.375,69.65,-1,,
note,72,60,69.75,70.025,1,,
note,69,60,70.125,70.4,-1,,
note,69,60,70.5,71.9,0,,t
note,69,60,72.0,72.65,0,,
note,-1,0,72.75,73.4,0,,
note,76,60,73.5,74.15,0,,
note,-1,0,74.25,74.525,-1,,
note,76,60,74.625,74.9,-1,,
note,76,60,75.0,75.65,0,,
note,74,60,75.75,76.025,1,,
note,72,60,76.125,76.4,-1,,
note,76,60,76.5,77.15,0,,
note,74,60,77.25,77.9,0,,
note,74,60,78.0,78.275,-1,,
note,-1,0,78.375,78.65,-1,,
note,74,60,78.75,79.025,1,,
note,76,60,79.125,79.4,-1,,
note,77,60,79.5,80.525,0,t,
note,77,60,80.625,80.9,-1,,
note,79,60,81.0,81.65,0,,
note,74,60,81.75,82.025,1,,
note,77,60,82.125,82.4,-1,,
note,77,60,82.5,82.775,-1,,
note,76,60,82.875,83.9,0,t,
note,76,60,84.0,84.65,0,,
note,-1,0,84.75,85.025,-1,,
note,76,60,85.125,85.4,-1,,
note,77,60,85.5,86.525,0,t,
note,76,60,86.625,86.9,-1,,
note,74,60,87.0,87.65,0,,
note,74,60,87.75,88.025,1,,
note,76,60,88.125,88.4,-1,,
note,76,60,88.5,89.15,0,,
note,74,60,89.25,89.9,0,,
note,72,60,90.0,90.65,0,,
note,69,60,90.75,91.025,1,,
note,71,60,91.125,91.4,-1,,
note,72,60,91.5,91.775,1,,
note,72,60,91.875,92.15,-1,,
note,-1,0,92.25,92.525,-1,,
note,72,60,92.625,92.9,-1,,
note,71,60,93.0,93.275,1,,
note,71,60,93.375,93.65,-1,,
note,72,60,93.75,94.025,1,,
note,69,60,94.125,94.4,-1,,
note,69,60,94.5,95.9,0,,t
note,69,60,96.0,96.65,0,,
note,-1,0,96.75,97.4,0,,
