//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,0,,,,,,
measure_time,1.1764705882352942,,,,,,
metronome_per_measure,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0.0,0.19411764705882353,-1,,
note,67,60,0.29411764705882354,0.4882352941176471,-1,,
note,69,60,0.5882352941176471,0.7823529411764706,1,,
note,72,60,0.8823529411764706,1.076470588235294,-1,,
note,76,60,1.1764705882352942,1.6647058823529413,0,,
note,74,60,1.7647058823529411,2.2529411764705882,0,,
note,72,60,2.3529411764705883,2.547058823529412,1,,
note,74,60,2.6470588235294117,2.8411764705882354,-1,,
note,76,60,2.9411764705882355,3.1352941176470592,1,,
note,74,60,3.235294117647059,3.4294117647058826,-1,,
note,74,60,3.5294117647058822,4.605882352941176,0,,t
note,-1,0,4.705882352941177,4.9,-1,,
note,67,60,5.0,5.194117647058824,-1,,
note,69,60,5.294117647058823,5.488235294117647,1,,
note,72,60,5.588235294117648,5.782352941176471,-1,,
note,76,60,5.882352941176471,6.370588235294118,0,,
note,74,60,6.470588235294118,6.958823529411765,0,,
note,72,60,7.0588235294117645,7.252941176470588,1,,
note,74,60,7.352941176470589,7.5470588235294125,-1,,
note,76,60,7.647058823529412,7.841176470588236,1,,
note,74,60,7.9411764705882355,8.135294117647058,-1,,
note,74,60,8.23529411764706,9.311764705882354,0,,t
note,-1,0,9.411764705882353,9.605882352941176,-1,,
note,76,60,9.705882352941178,9.9,-1,,
note,79,60,10.0,10.194117647058823,1,,
note,81,60,10.294117647058824,10.488235294117647,-1,,
note,81,60,10.588235294117647,10.78235294117647,1,,
note,81,60,10.882352941176471,11.076470588235294,-1,,
note,81,60,11.176470588235295,11.370588235294118,1,,
note,79,60,11.470588235294118,11.66470588235294,-1,,
note,77,60,11.764705882352942,11.958823529411765,1,,
note,79,60,12.058823529411764,12.252941176470587,-1,,
note,81,60,12.352941176470589,12.547058823529412,1,,
note,79,60,12.647058823529413,12.841176470588236,-1,,
note,79,60,12.941176470588236,13.135294117647058,1,,
note,67,60,13.23529411764706,13.429411764705883,-1,,
note,69,60,13.529411764705882,13.723529411764705,1,,
note,72,60,13.823529411764707,14.01764705882353,-1,,
note,72,60,14.117647058823529,14.311764705882352,1,,
note,72,60,14.411764705882353,14.605882352941176,-1,,
note,74,60,14.705882352941178,14.9,1,,
note,76,60,15.0,15.194117647058823,-1,,
note,77,60,15.294117647058824,15.782352941176471,0,,
note,76,60,15.882352941176471,16.076470588235296,1,,
note,74,60,16.176470588235293,16.370588235294118,-1,,
note,74,60,16.47058823529412,16.664705882352944,-1,,
note,72,60,16.764705882352942,17.25294117647059,0,,
note,77,60,17.35294117647059,17.547058823529415,-1,,
note,77,60,17.647058823529413,17.841176470588238,1,,
note,76,60,17.941176470588236,18.13529411764706,-1,,
note,74,60,18.235294117647058,18.429411764705883,1,,
note,74,60,18.529411764705884,18.72352941176471,-1,,
note,74,60,18.823529411764707,19.01764705882353,1,,
note,76,60,19.11764705882353,19.311764705882354,-1,,
note,72,60,19.411764705882355,19.60588235294118,1,,
note,72,60,19.705882352941178,19.900000000000002,-1,,
note,72,60,20.0,21.076470588235296,0,,t
note,72,60,21.176470588235293,21.66470588235294,0,,
note,-1,0,21.764705882352942,22.25294117647059,0,,
