//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,0,,,,,,
measure_time,1.7391304347826086,,,,,,
metronome_per_measure,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0.0,1.2043478260869565,0,t,
note,72,60,1.3043478260869565,1.6391304347826088,-1,,
note,72,60,1.7391304347826086,3.378260869565217,0,,t
note,69,60,3.4782608695652173,5.117391304347826,0,,t
note,69,60,5.217391304347826,5.552173913043478,-1,,
note,-1,0,5.6521739130434785,6.856521739130435,0,t,
