//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,0,,,,,,
measure_time,1.6216216216216217,,,,,,
metronome_per_measure,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0.0,0.7108108108108109,0,,
note,76,60,0.8108108108108109,1.1162162162162161,1,,
note,79,60,1.2162162162162162,1.5216216216216216,-1,,
note,81,60,1.6216216216216217,2.332432432432433,0,,
note,-1,0,2.4324324324324325,2.737837837837838,-1,,
note,81,60,2.837837837837838,3.1432432432432433,-1,,
note,79,60,3.2432432432432434,3.5486486486486486,1,,
note,74,60,3.6486486486486487,3.954054054054054,-1,,
note,72,60,4.054054054054054,4.35945945945946,1,,
note,74,60,4.45945945945946,4.764864864864865,-1,,
note,76,60,4.864864864864865,5.1702702702702705,1,,
note,79,60,5.27027027027027,5.575675675675676,-1,,
note,74,60,5.675675675675676,5.981081081081082,1,,
note,76,60,6.081081081081082,6.386486486486487,-1,,
note,72,60,6.486486486486487,7.197297297297298,0,,
note,76,60,7.297297297297297,7.602702702702703,1,,
note,79,60,7.7027027027027035,8.00810810810811,-1,,
note,81,60,8.108108108108109,8.81891891891892,0,,
note,-1,0,8.91891891891892,9.224324324324325,-1,,
note,81,60,9.324324324324325,9.62972972972973,-1,,
note,79,60,9.72972972972973,10.035135135135135,1,,
note,74,60,10.135135135135135,10.44054054054054,-1,,
note,72,60,10.54054054054054,10.845945945945946,1,,
note,74,60,10.945945945945947,11.251351351351353,-1,,
note,-1,0,11.351351351351353,11.656756756756758,-1,,
note,76,60,11.756756756756758,12.872972972972974,0,t,
note,76,60,12.972972972972974,13.27837837837838,-1,,
note,-1,0,13.378378378378379,13.683783783783785,-1,,
note,76,60,13.783783783783784,14.08918918918919,1,,
note,79,60,14.18918918918919,14.494594594594595,-1,,
note,81,60,14.594594594594595,15.305405405405406,0,,
note,-1,0,15.405405405405407,15.710810810810813,-1,,
note,81,60,15.810810810810812,16.116216216216216,-1,,
note,79,60,16.216216216216218,16.521621621621623,1,,
note,74,60,16.62162162162162,16.927027027027027,-1,,
note,72,60,17.027027027027028,17.332432432432434,1,,
note,74,60,17.432432432432435,17.73783783783784,-1,,
note,76,60,17.83783783783784,18.143243243243244,1,,
note,79,60,18.243243243243246,18.54864864864865,-1,,
note,79,60,18.64864864864865,18.954054054054055,1,,
note,74,60,19.054054054054056,19.359459459459462,-1,,
note,72,60,19.45945945945946,20.170270270270272,0,,
note,76,60,20.27027027027027,20.575675675675676,1,,
note,74,60,20.675675675675677,20.981081081081083,-1,,
note,69,60,21.08108108108108,21.791891891891893,0,,
note,76,60,21.891891891891895,22.602702702702707,0,,
note,74,60,22.702702702702705,23.00810810810811,1,,
note,72,60,23.10810810810811,23.616216216216216,-1,t,
note,74,60,23.716216216216218,23.81891891891892,-2,,
note,-1,0,23.91891891891892,24.224324324324325,-1,,
note,76,60,24.324324324324326,25.84594594594595,0,,t
note,76,60,25.945945945945947,26.251351351351353,-1,,
note,-1,0,26.351351351351354,27.46756756756757,0,t,
