//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,0,,,,,,
measure_time,2.0,,,,,,
metronome_per_measure,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0.0,0.4,-1,,
note,72,60,0.5,0.65,2,,
note,74,60,0.75,0.9,-2,,
note,74,60,1.0,1.9,0,,
note,74,60,2.0,2.15,2,,
note,74,60,2.25,2.4,2,,
note,72,60,2.5,2.9,-1,,
note,69,60,3.0,3.15,2,,
note,72,60,3.25,3.4,-2,,
note,-1,0,3.5,3.9,-1,,
note,67,60,4.0,4.4,1,,
note,67,60,4.5,4.9,-1,,
note,67,60,5.0,5.4,1,,
note,65,60,5.5,5.65,2,,
note,67,60,5.75,5.9,-2,,
note,67,60,6.0,6.9,0,,
note,-1,0,7.0,7.9,0,,
note,-1,0,8.0,8.4,-1,,
note,72,60,8.5,8.65,2,,
note,72,60,8.75,8.9,-2,,
note,72,60,9.0,9.4,1,,
note,72,60,9.5,9.9,-1,,
note,72,60,10.0,10.15,2,,
note,72,60,10.25,10.4,2,,
note,72,60,10.5,10.65,2,,
note,69,60,10.75,10.9,-2,,
note,67,60,11.0,11.15,2,,
note,69,60,11.25,11.4,2,,
note,72,60,11.5,11.9,-1,,
note,74,60,12.0,12.9,0,,
note,74,60,13.0,13.4,1,,
note,72,60,13.5,13.65,2,,
note,69,60,13.75,13.9,-2,,
note,69,60,14.0,15.9,0,,t
note,-1,0,16.0,16.4,-1,,
note,74,60,16.5,16.65,2,,
note,72,60,16.75,16.9,-2,,
note,74,60,17.0,17.4,1,,
note,74,60,17.5,17.9,-1,,
note,74,60,18.0,18.4,1,,
note,74,60,18.5,18.65,2,,
note,72,60,18.75,18.9,-2,,
note,74,60,19.0,19.15,2,,
note,77,60,19.25,19.9,-1,t,
note,79,60,20.0,20.4,1,,
note,79,60,20.5,20.9,-1,,
note,79,60,21.0,21.15,2,,
note,77,60,21.25,21.4,2,,
note,79,60,21.5,21.9,-1,,
note,79,60,22.0,22.9,0,,
note,-1,0,23.0,23.9,0,,
note,-1,0,24.0,24.4,-1,,
note,79,60,24.5,24.65,2,,
note,77,60,24.75,24.9,-2,,
note,79,60,25.0,25.4,1,,
note,79,60,25.5,25.9,-1,,
note,79,60,26.0,26.4,1,,
note,79,60,26.5,26.65,2,,
note,77,60,26.75,26.9,-2,,
note,74,60,27.0,27.15,2,,
note,77,60,27.25,27.65,1,,
note,74,60,27.75,27.9,-2,,
note,77,60,28.0,28.4,1,,
note,77,60,28.5,28.9,-1,,
note,76,60,29.0,29.15,2,,
note,74,60,29.25,29.4,2,,
note,76,60,29.5,29.65,2,,
note,76,60,29.75,29.9,-2,,
note,76,60,30.0,31.9,0,,t
note,-1,0,32.0,32.4,-1,,
note,72,60,32.5,32.65,2,,
note,74,60,32.75,32.9,-2,,
note,74,60,33.0,33.9,0,,
note,74,60,34.0,34.15,2,,
note,74,60,34.25,34.4,2,,
note,72,60,34.5,34.9,-1,,
note,69,60,35.0,35.15,2,,
note,72,60,35.25,35.4,-2,,
note,-1,0,35.5,35.9,-1,,
note,67,60,36.0,36.4,1,,
note,67,60,36.5,36.9,-1,,
note,67,60,37.0,37.4,1,,
note,65,60,37.5,37.65,2,,
note,67,60,37.75,37.9,-2,,
note,67,60,38.0,38.9,0,,
note,-1,0,39.0,39.9,0,,
note,-1,0,40.0,40.4,-1,,
note,72,60,40.5,40.65,2,,
note,72,60,40.75,40.9,-2,,
note,72,60,41.0,41.4,1,,
note,72,60,41.5,41.9,-1,,
note,72,60,42.0,42.15,2,,
note,72,60,42.25,42.4,2,,
note,72,60,42.5,42.65,2,,
note,69,60,42.75,42.9,-2,,
note,67,60,43.0,43.15,2,,
note,69,60,43.25,43.4,2,,
note,72,60,43.5,43.9,-1,,
note,74,60,44.0,44.9,0,,
note,74,60,45.0,45.4,1,,
note,72,60,45.5,45.65,2,,
note,69,60,45.75,45.9,-2,,
note,69,60,46.0,47.9,0,,t
note,-1,0,48.0,48.4,-1,,
note,74,60,48.5,48.65,2,,
note,72,60,48.75,48.9,-2,,
note,74,60,49.0,49.4,1,,
note,74,60,49.5,49.9,-1,,
note,74,60,50.0,50.4,1,,
note,74,60,50.5,50.65,2,,
note,72,60,50.75,50.9,-2,,
note,74,60,51.0,51.15,2,,
note,77,60,51.25,51.9,-1,t,
note,79,60,52.0,52.4,1,,
note,79,60,52.5,52.9,-1,,
note,79,60,53.0,53.15,2,,
note,77,60,53.25,53.4,2,,
note,79,60,53.5,53.9,-1,,
note,79,60,54.0,54.9,0,,
note,-1,0,55.0,55.9,0,,
note,-1,0,56.0,56.4,-1,,
note,79,60,56.5,56.65,2,,
note,77,60,56.75,56.9,-2,,
note,79,60,57.0,57.9,0,,
note,79,60,58.0,58.4,1,,
note,79,60,58.5,58.65,2,,
note,77,60,58.75,58.9,-2,,
note,74,60,59.0,59.15,2,,
note,77,60,59.25,59.65,1,,
note,69,60,59.75,59.9,-2,,
note,81,60,60.0,60.4,1,,
note,81,60,60.5,60.9,-1,,
note,81,60,61.0,61.15,2,,
note,79,60,61.25,61.4,2,,
note,81,60,61.5,61.9,-1,,
note,81,60,62.0,63.4,0,t,
note,-1,0,63.5,63.9,-1,,
note,-1,0,64.0,64.4,-1,,
note,81,60,64.5,64.65,2,,
note,81,60,64.75,64.9,-2,,
note,81,60,65.0,65.4,1,,
note,81,60,65.5,65.65,2,,
note,81,60,65.75,65.9,-2,,
note,81,60,66.0,66.15,2,,
note,74,60,66.25,66.4,-2,,
note,-1,0,66.5,66.9,-1,,
note,74,60,67.0,67.15,2,,
note,76,60,67.25,67.4,2,,
note,77,60,67.5,67.9,-1,,
note,81,60,68.0,68.4,1,,
note,79,60,68.5,68.9,-1,,
note,79,60,69.0,69.15,2,,
note,77,60,69.25,69.4,2,,
note,79,60,69.5,69.9,-1,,
note,79,60,70.0,71.9,0,,t
note,-1,0,72.0,72.4,-1,,
note,79,60,72.5,72.65,2,,
note,77,60,72.75,72.9,-2,,
note,79,60,73.0,73.15,2,,
note,79,60,73.25,73.4,2,,
note,81,60,73.5,73.9,-1,,
note,79,60,74.0,74.4,1,,
note,77,60,74.5,74.65,2,,
note,74,60,74.75,74.9,-2,,
note,77,60,75.0,75.15,2,,
note,74,60,75.25,75.4,2,,
note,74,60,75.5,75.65,2,,
note,74,60,75.75,75.9,-2,,
note,77,60,76.0,76.4,1,,
note,77,60,76.5,76.9,-1,,
note,77,60,77.0,77.15,2,,
note,79,60,77.25,77.4,2,,
note,77,60,77.5,77.65,2,,
