//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,0,,,,,,
measure_time,2.142857142857143,,,,,,
metronome_per_measure,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,-1,0,0.0,2.0428571428571427,0,,t
note,79,60,2.142857142857143,4.185714285714285,0,,t
note,79,60,4.285714285714286,6.328571428571428,0,,t
note,79,60,6.428571428571429,7.935714285714286,0,t,
note,-1,0,8.035714285714285,8.47142857142857,-1,,
