//,Define constants,,,,,,
prelude,0,// how many seconds after bgm plays should Movement start? This makes space for the leading beats. ,,,,,
default_transpose,0,,,,,,
measure_time,1.2,,,,,,
metronome_per_measure,2,,,,,,
//,Declare objects,,,,,,
class,pitch,velocity,note on,note off,"beam count, negative means group termination, slash means no stem (whole note)",dotted?,hollow?
note,81,60,0.0,0.19999999999999998,-1,,
note,81,60,0.3,1.0999999999999999,0,t,
note,81,60,1.2,2.3,0,,t
note,-1,0,2.4,2.6,-1,,
note,81,60,2.6999999999999997,3.1999999999999997,0,,
note,81,60,3.3,3.5,-1,,
note,81,60,3.5999999999999996,4.1,0,,
note,81,60,4.2,4.4,-1,,
note,-1,0,4.5,4.7,-1,,
note,81,60,4.8,5.0,1,,
note,79,60,5.1,5.3,-1,,
note,77,60,5.3999999999999995,5.6,1,,
note,79,60,5.7,5.9,-1,,
note,79,60,6.0,7.1,0,,t
note,79,60,7.199999999999999,7.3999999999999995,-1,,
note,-1,0,7.5,8.3,0,t,
note,-1,0,8.4,8.6,-1,,
note,74,60,8.7,8.899999999999999,-1,,
note,74,60,9.0,9.2,1,,
note,74,60,9.299999999999999,9.499999999999998,-1,,
note,77,60,9.6,9.799999999999999,-1,,
note,77,60,9.9,10.700000000000001,0,t,
note,77,60,10.799999999999999,11.6,0,t,
note,-1,0,11.7,11.899999999999999,-1,,
note,-1,0,12.0,12.5,0,,
note,74,60,12.6,12.799999999999999,1,,
note,74,60,12.9,13.1,-1,,
note,77,60,13.2,13.7,0,,
note,74,60,13.799999999999999,13.999999999999998,1,,
note,72,60,14.1,14.299999999999999,-1,,
note,72,60,14.399999999999999,14.599999999999998,-1,,
note,74,60,14.7,15.5,0,t,
note,74,60,15.6,16.7,0,,t
